mode,batch_size,in_features,out_features,latency_ms,tflops
CUDA Core (FP32),64,1024,1024,0.024617,5.452246
Tensor Core (TF32),64,1024,1024,0.015073,8.904348
CUDA Core (FP32),64,2048,2048,0.056402,9.518664
Tensor Core (TF32),64,2048,2048,0.026388,20.344897
CUDA Core (FP32),64,4096,4096,0.183521,11.701552
Tensor Core (TF32),64,4096,4096,0.081725,26.276809
CUDA Core (FP32),128,1024,1024,0.039424,6.808935
Tensor Core (TF32),128,1024,1024,0.017654,15.205569
CUDA Core (FP32),128,2048,2048,0.101192,10.610969
Tensor Core (TF32),128,2048,2048,0.052429,20.480001
CUDA Core (FP32),128,4096,4096,0.325806,13.182588
Tensor Core (TF32),128,4096,4096,0.084296,50.951213
CUDA Core (FP32),256,1024,1024,0.062034,8.654473
Tensor Core (TF32),256,1024,1024,0.025477,21.072668
CUDA Core (FP32),256,2048,2048,0.172913,12.419472
Tensor Core (TF32),256,2048,2048,0.055214,38.893768
CUDA Core (FP32),256,4096,4096,0.609126,14.102056
Tensor Core (TF32),256,4096,4096,0.116091,73.993191
CUDA Core (FP32),512,4096,4096,0.931666,18.439945
Tensor Core (TF32),512,4096,4096,0.159314,107.836588
CUDA Core (FP32),1024,4096,4096,1.862052,18.452622
Tensor Core (TF32),1024,4096,4096,0.310426,110.685903
